epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5712,0.78415,2.75354,1.12734,0.00659,0.9881,0.34167,0.24837,0.6114,2.81482,1.12252,4e-05,4e-05,4e-05
2,49.5607,0.80089,2.61166,1.09336,0.00659,0.9881,0.4648,0.33148,0.74872,2.78674,1.19942,9.802e-05,9.802e-05,9.802e-05
3,70.5228,0.74797,2.20532,1.08642,0.00659,0.9881,0.51554,0.35376,0.80801,2.68379,1.2343,0.000153664,0.000153664,0.000153664
4,91.5774,0.70622,1.69897,1.02443,0.67839,0.52737,0.57379,0.42743,0.54044,2.47898,0.99691,0.000206932,0.000206932,0.000206932
5,112.208,0.60066,1.43194,0.94859,0.79735,0.23432,0.64379,0.51041,0.52616,2.31252,0.96748,0.000257824,0.000257824,0.000257824
6,132.735,0.65453,1.38839,1.0068,0.82952,0.40549,0.64543,0.53283,0.59396,2.26816,1.03806,0.00030634,0.00030634,0.00030634
7,153.541,0.64192,1.2114,0.9681,0.7892,0.58333,0.74317,0.63694,0.51267,2.00096,0.9808,0.00035248,0.00035248,0.00035248
8,174.185,0.64931,1.33001,0.98259,0.79245,0.59093,0.71599,0.60078,0.51008,2.00391,0.9833,0.000396244,0.000396244,0.000396244
9,195.015,0.55735,1.15045,0.93365,0.82737,0.51354,0.71895,0.60758,0.53937,2.21912,0.99789,0.000437632,0.000437632,0.000437632
10,218.012,0.56659,1.12213,0.96889,0.86678,0.44048,0.76244,0.65599,0.51803,2.20422,0.98613,0.000476644,0.000476644,0.000476644
11,291.747,0.57921,1.1384,0.91066,0.90905,0.59495,0.80587,0.66565,0.5945,2.14202,1.04035,0.00051328,0.00051328,0.00051328
12,314.445,0.59282,1.17922,0.98795,0.90784,0.63095,0.82544,0.70526,0.59414,1.99603,1.01928,0.00054754,0.00054754,0.00054754
13,336.604,0.51848,0.98294,0.92705,0.87672,0.67857,0.83821,0.7034,0.58612,1.88375,1.01734,0.000579424,0.000579424,0.000579424
14,358.629,0.63906,1.03959,1.02984,0.92411,0.7248,0.85465,0.73549,0.5321,1.78692,0.99584,0.000608932,0.000608932,0.000608932
15,380.601,0.60748,1.0277,0.97855,0.91496,0.76855,0.87187,0.76729,0.51981,1.60197,0.99038,0.000636064,0.000636064,0.000636064
16,402.542,0.60737,1.03304,0.95889,0.96867,0.73624,0.85216,0.73653,0.56493,1.66906,1.01041,0.00066082,0.00066082,0.00066082
17,424.443,0.58229,1.02974,0.97858,0.9523,0.64286,0.81408,0.6695,0.61036,1.86347,1.05038,0.0006832,0.0006832,0.0006832
18,445.84,0.61713,1.01155,0.97774,0.91553,0.64518,0.83525,0.70391,0.58101,1.88418,1.03289,0.000703204,0.000703204,0.000703204
19,467.067,0.5663,0.95988,0.93056,0.92196,0.70326,0.86951,0.72746,0.54731,1.77087,1.01821,0.000720832,0.000720832,0.000720832
20,518.855,0.59234,1.01887,0.96869,0.9266,0.75,0.88062,0.75324,0.51952,1.60366,0.9916,0.000736084,0.000736084,0.000736084
21,543.589,0.58737,0.96935,0.98049,0.93062,0.7381,0.88858,0.75846,0.51009,1.45257,0.98422,0.00074896,0.00074896,0.00074896
22,565.554,0.57695,0.98877,0.99403,0.95774,0.72619,0.87982,0.77584,0.49459,1.35278,0.97023,0.00075946,0.00075946,0.00075946
23,586.581,0.54327,0.9141,0.95165,0.8411,0.75621,0.86872,0.77493,0.48429,1.3206,0.94297,0.000767584,0.000767584,0.000767584
24,607.539,0.57227,0.93098,0.96443,0.85102,0.80952,0.85909,0.76488,0.48278,1.30114,0.93066,0.000773332,0.000773332,0.000773332
25,628.264,0.49614,0.8533,0.91298,0.83754,0.82143,0.8385,0.73335,0.52026,1.34165,0.9626,0.000776704,0.000776704,0.000776704
26,650.228,0.57055,0.88608,0.94239,0.82992,0.75,0.81993,0.7138,0.53635,1.38449,1.00234,0.0007777,0.0007777,0.0007777
27,671.307,0.53179,0.8788,0.91225,0.82463,0.7619,0.8033,0.67993,0.57879,1.50352,1.04642,0.00077632,0.00077632,0.00077632
28,692.525,0.52148,0.81277,0.94929,0.79558,0.7619,0.80547,0.65794,0.62299,1.53632,1.11204,0.000772564,0.000772564,0.000772564
29,713.396,0.51928,0.78625,0.92321,0.79558,0.7619,0.80547,0.65794,0.62299,1.53632,1.11204,0.000766432,0.000766432,0.000766432
30,733.921,0.51685,0.82469,0.93861,0.794,0.7342,0.81522,0.67851,0.59694,1.49936,1.13067,0.000757924,0.000757924,0.000757924
31,754.689,0.49277,0.83148,0.91432,0.74503,0.77381,0.80924,0.68467,0.57256,1.42346,1.045,0.00074704,0.00074704,0.00074704
32,776.041,0.52924,0.85131,0.94753,0.73862,0.80742,0.8214,0.69788,0.56927,1.37047,1.03095,0.00073378,0.00073378,0.00073378
33,797.056,0.54715,0.85619,0.93981,0.73862,0.80742,0.8214,0.69788,0.56927,1.37047,1.03095,0.000718144,0.000718144,0.000718144
34,818.188,0.51945,0.83588,0.90415,0.80139,0.83333,0.87047,0.74291,0.62066,1.29882,1.06199,0.0006932,0.0006932,0.0006932
35,839.067,0.54821,0.75067,0.90353,0.79179,0.86905,0.89824,0.72102,0.71599,1.35547,1.06931,0.0006536,0.0006536,0.0006536
36,860.115,0.51366,0.78146,0.91991,0.87325,0.82017,0.90737,0.73273,0.70209,1.44512,1.06702,0.000614,0.000614,0.000614
37,881.893,0.54476,0.78155,0.91955,0.87325,0.82017,0.90737,0.73273,0.70209,1.44512,1.06702,0.0005744,0.0005744,0.0005744
38,903.19,0.45931,0.7417,0.89105,0.84122,0.88299,0.92208,0.73386,0.65795,1.47102,1.05109,0.0005348,0.0005348,0.0005348
39,1344.99,0.45778,0.72424,0.89371,0.86974,0.84524,0.90732,0.73508,0.67424,1.47893,1.08563,0.0004952,0.0004952,0.0004952
40,1366.97,0.49989,0.71039,0.88844,0.81561,0.89522,0.91341,0.77344,0.62021,1.3555,1.0366,0.0004556,0.0004556,0.0004556
41,1388.21,0.47572,1.35056,0.93645,0.81561,0.89522,0.91341,0.77344,0.62021,1.3555,1.0366,0.000416,0.000416,0.000416
42,1409.66,0.44774,1.0989,0.88278,0.90341,0.85714,0.93784,0.80174,0.54325,1.23785,0.95533,0.0003764,0.0003764,0.0003764
43,1430.3,0.45649,1.10493,0.91836,0.86896,0.86837,0.93763,0.84677,0.46541,1.12254,0.91287,0.0003368,0.0003368,0.0003368
44,1450.74,0.49822,1.07929,0.93643,0.84266,0.86905,0.93206,0.85819,0.42363,1.0569,0.89326,0.0002972,0.0002972,0.0002972
45,1471.16,0.44198,0.91303,0.90695,0.84266,0.86905,0.93206,0.85819,0.42363,1.0569,0.89326,0.0002576,0.0002576,0.0002576
46,1492.58,0.42845,0.89988,0.85923,0.94512,0.85714,0.96147,0.89516,0.37522,1.00097,0.86287,0.000218,0.000218,0.000218
47,1514.25,0.41298,0.87366,0.92664,0.90899,0.95126,0.97512,0.91575,0.35414,0.97431,0.84949,0.0001784,0.0001784,0.0001784
48,1611.82,0.37386,0.85051,0.85107,0.91823,0.95238,0.98212,0.93162,0.34025,0.95584,0.84189,0.0001388,0.0001388,0.0001388
